source_doc_id,date,sentence,found_term,accompanying_terms
1013,2014-05-23 16:45:00,"I will agree with our Chinese colleague who said that even with the advanced level of Russia-China relations we had before, with the signing of these documents and the agreements we reached during this visit, our relations with China are indeed entering a higher and qualitatively different stage.",china,['russia']
1013,2014-05-23 16:45:00,"Of course, we are thankful to our Chinese partners and President of China Xi Jinping for his personal contribution to these issues.",china,[]
1013,2014-05-23 16:45:00,"Speaking of our plans with China – and I’m not mentioning gas although, as I said, it will be the largest construction site in the world, with $55 billion invested by Gazprom alone – these include construction of a helium plant, a plant for the chemical utilisation of natural gas and infrastructure.",china,[]
1013,2014-05-23 16:45:00,"But generally, I hope, despite occasional problems, that humankind will have enough common sense, and that experience of the past decades and even centuries, including tragic experience (our colleague from China mentioned that we are approaching the 70th anniversary of the Second World War and the anniversary of the First World War), will eventually encourage the world to resolve any disputes through negotiations that would take into account interest of the parties.",china,[]
1014,2014-05-23 18:15:00,The Chinese government’s position on key development issues is of considerable importance for everyone taking part in the Forum and everyone who is following closely the global economy’s development.,chinese,[]
1014,2014-05-23 18:15:00,"As you know, we just completed a lot of work in Shanghai with our Chinese friends and colleagues two or three days ago and achieved some very impressive results.",chinese,[]
1014,2014-05-23 18:15:00,"Of course, the Russian and Chinese governments played key roles here because it would have been impossible to reach agreements without first resolving some key issues that come under the governments’ responsibility.",chinese,[]
1014,2014-05-23 18:15:00,"I am very grateful of course to President of the People’s Republic of China and my friend Mr Xi Jinping, who took personal interest in all of the issues discussed during our negotiations.",china,[]
1014,2014-05-23 18:15:00,The Chinese are very serious negotiators.,chinese,[]
1014,2014-05-23 18:15:00,Vice President of the People’S Republic of China Li Yuanchao (retranslated):,china,[]
1014,2014-05-23 18:15:00,I thank you in particular for your speech and for your words about developing Russian-Chinese cooperation.,chinese,['russian']
1014,2014-05-23 18:15:00,Your recent state visit to China produced results of milestone importance.,china,[]
1014,2014-05-23 18:15:00,"This is the result not just of China and Russia’s need for cooperation, but also of the wise and correct decision that you and President Xi Jinping made.",china,[]
1014,2014-05-23 18:15:00,Please pass on my best wishes to President of China Xi Jinping.,china,[]
1020,2014-05-24 18:30:00,The meetings in Shanghai several days ago and the documents that were signed prove without any doubt that relations between the People’s Republic of China and the Russian Federation have advanced to a new level.,china,[]
1020,2014-05-24 18:30:00,"For the People’s Republic of China, this contract is expected to reduce energy deficit, which is also crucial.",china,[]
1020,2014-05-24 18:30:00,"As I said yesterday, we share the concerns of China’s leaders regarding the need for reducing air pollution in major cities.",china,[]
1020,2014-05-24 18:30:00,We really hope that our cooperation will help improve the environment in major Chinese cities.,chinese,[]
1020,2014-05-24 18:30:00,"The first contract is about delivering gas to the eastern part of China, while the second contract could target the west.",china,[]
1020,2014-05-24 18:30:00,"Since all the main issues regarding price calculation, price formation and government support and benefits for this project have already been addressed by both sides, the second project, if greenlighted by China, could be implemented even faster than the Eastern Route project.",china,[]
1020,2014-05-24 18:30:00,"Of course, it will all depend on the People’s Republic of China and its need to develop specific regions.",china,[]
1020,2014-05-24 18:30:00,Joining efforts on monetary and financial issues is very important for both China and Russia.,china,[]
1020,2014-05-24 18:30:00,There is no secret that the People’s Republic of China and the Russian Federation have large foreign currency reserves.,china,[]
1020,2014-05-24 18:30:00,China ranks first globally in this respect.,china,[]
1020,2014-05-24 18:30:00,I would like to commend the President of the People’s Republic of China Xi Jinping on the special role he played in facilitating these agreements.,china,[]
1020,2014-05-24 18:30:00,"As for our relations with our Chinese partners and friends, and our relations with our European partners, including Germany – once we begin executing our contract with China, that country will become an equal consumer of Russian gas, just like Germany.",china,[]
